Campus,Descrição ,Coordenador ,Validade
Jaguarão,"Experiências de leitura, a formação do leitor em textos artísticos: HQ e outras linguagens",catia dias goulart,02/05/2019 - 05/12/2019
Jaguarão,Formação de Professores na Cibercultura: Interagindo com as Ferramentas Digitais,Juliana Brandão Machado,07/12/2018 - 30/05/2019
Jaguarão,Galeria Intercultural Magliani,Patrícia Schneider Severo,31/07/2017 - 31/07/2020
Jaguarão,I Jornada dos Povos Indígenas - Unipampa Campus Jaguarão,Cristiani Ricordi,08/10/2018 - 30/04/2019
Jaguarão,"IV COPENE SUL: ANCESTRALIDADES, CONQUISTAS E RESISTÊNCIAS EM TEMPO DE INTOLERÂNCIA",Giane Vargas escobar,27/09/2018 - 26/09/2019
Jaguarão,"LugareS de FalaS, vamos dialogar?",Edison Bisso Cruxen,10/05/2019 - 16/11/2019
Jaguarão,Núcleo de Estudo e Pesquisa em Gênero e Sexualidade (NEPGS)  Campus Jaguarão,MARCELA  WANGLON RICHTER,15/05/2019 - 15/05/2021
Jaguarão,O cuidado de si e o mundo: narrativas visuais e produções fotográficas no campo psicossocial.,thomas josue silva,03/08/2017 - 03/08/2019
Jaguarão,Pipas no Cerro,Patrícia Schneider Severo,03/04/2018 - 31/12/2019
Jaguarão,Programa CriaNegra,S,01/03/2017 - 01/03/2020
Jaguarão,Uma proposta de formação continuada de professores de espanhol através da pesquisa-ação,Caroline Feij,13/03/2019 - 30/12/2019
Jaguarão,Atinuké  Grupo de Estudos sobre o Pensamento de Mulheres Negras,Giane Vargas escobar,01/05/2018 - 31/12/2020
Santana do Livramento,A Ferradura dos Vinhedos: Aperfeiçoamento e Disseminação de Conhecimentos,Tanise Brandão Bussmann,01/04/2018 - 31/12/2020
Santana do Livramento,"A Unipampa contribuindo na Inclusão digital para a melhor idade,, Adultos e Pessoas fora do Mercado de Trabalho das cidades de Santana do Livramento e Rivera-ROU.",Luiz Edgar Araujo Lima,01/05/2015 - 15/01/2201
Santana do Livramento,Associação Atlética Desportiva Unipampa Livramento (AADUL),Sebastião Ailton da Rosa Cerqueira Adão,20/06/2018 - 18/06/2019
Santana do Livramento,Cine Pampa,Renato José da Costa,01/01/2017 - 31/12/2019
Santana do Livramento,Desenvolvimento do Arranjo Produtivo Local (APL) do Leite em Sant`Ana do Livramento,MÁRCIO PEREIRA CORDEIRO,16/02/2017 - 14/02/2020
Santana do Livramento,Despertando a atitude empreendedora: uma análise em escolas                         públicas de ensino médio,Mygre Lopes da Silva,04/10/2018 - 20/12/2019
